iteration, loss, time forward pass, time backward pass
0, 0.15100707113742828, 0.04997563362121582, 0.037641048431396484
1, 0.13865864276885986, 0.048011064529418945, 0.019178390502929688
2, 0.13035020232200623, 0.04378867149353027, 0.01883554458618164
3, 0.12279145419597626, 0.013472557067871094, 0.01690983772277832
4, 0.1132105216383934, 0.012560367584228516, 0.02077507972717285
5, 0.1033429428935051, 0.013007640838623047, 0.018318891525268555
6, 0.0958985686302185, 0.013899803161621094, 0.01867222785949707
7, 0.08967354148626328, 0.013866662979125977, 0.01714181900024414
8, 0.08214771747589111, 0.013709068298339844, 0.016497373580932617
9, 0.0766509473323822, 0.012551546096801758, 0.0157926082611084
10, 0.06988757103681564, 0.012785673141479492, 0.016883373260498047
11, 0.06343512237071991, 0.013483285903930664, 0.01979851722717285
12, 0.05642882362008095, 0.014036417007446289, 0.017427444458007812
13, 0.0508878268301487, 0.01372218132019043, 0.0166473388671875
14, 0.0471632294356823, 0.012675285339355469, 0.016782283782958984
15, 0.040451861917972565, 0.013617992401123047, 0.02016448974609375
16, 0.03642533719539642, 0.015735387802124023, 0.019666194915771484
17, 0.031455229967832565, 0.01868724822998047, 0.017879009246826172
18, 0.027480348944664, 0.012456655502319336, 0.018856048583984375
19, 0.0235887560993433, 0.01518702507019043, 0.06741476058959961
20, 0.0201396644115448, 0.033623695373535156, 0.029298067092895508
21, 0.01665525883436203, 0.01890420913696289, 0.018657445907592773
22, 0.013409058563411236, 0.012815237045288086, 0.018203020095825195
23, 0.011042377911508083, 0.017165660858154297, 0.01626133918762207
24, 0.008875491097569466, 0.013614654541015625, 0.017603635787963867
25, 0.0067670345306396484, 0.01676797866821289, 0.017725229263305664
26, 0.005061192438006401, 0.016767024993896484, 0.02570796012878418
27, 0.003613232634961605, 0.019027233123779297, 0.01813817024230957
28, 0.0025175020564347506, 0.014310836791992188, 0.017590045928955078
29, 0.0016117629129439592, 0.012347936630249023, 0.017592668533325195
30, 0.0009227769332937896, 0.014077901840209961, 0.019527912139892578
31, 0.00047491712030023336, 0.01700139045715332, 0.01707005500793457
32, 0.0001749666698742658, 0.013936281204223633, 0.017326831817626953
33, 3.026314516318962e-05, 0.016804218292236328, 0.07453107833862305
34, 8.702992090547923e-06, 0.02249312400817871, 0.02198004722595215
35, 8.009778684936464e-05, 0.030157804489135742, 0.023654460906982422
